InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 years,TenureGroup_2-4 years,TenureGroup_4+ years,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,CLV,AvgMonthlySpend,ServiceCount,HasInternet,HasPhone,HasPremiumServices,HasStreaming,ContractRisk,PaymentRisk,IsNewCustomer,SeniorNoSupport,HighValueCustomer,ChargeTenureRatio
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1023712383613841,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.5219756496159262,-0.26225719995201097,-0.2534639218739019,-0.38983654005034624,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.5023626608459871
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.7117434584104956,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3374778078243394,-0.5036347857749957,-0.5149200842942575,0.4168213371483602,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.11921851821206929
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.7931549280876836,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.8090131942822701,-0.7498829245931361,-0.7780666014170788,-0.556374157204309,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3261965553680071
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2639803751859618,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2843841579438598,-0.17272239466719,-0.1704828728437638,0.37142058903160674,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3462580132940339
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.2816237461508113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6762790695810708,-0.9893737196161955,-0.9899536610040874,-1.2059388915305618,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.9054235730137492
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.3642490183577978,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48348534499565887,1.2710674769778725,1.2941985005135939,0.5990866098859272,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5231027693903254
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2816237461508113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.497571466169742,-1.0002337364297182,-1.0008202269485102,-1.610021800765834,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4803288909564722
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.30589991255435406,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.27641751891870747,0.03500010874782714,-0.015497104020278412,-0.0385285334526261,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5007710300932582
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.3235432835192036,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.17023021915774814,0.6620728371601656,0.697086190032177,-0.04920054327524776,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5554056707444153
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1200146093262338,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5183280527297236,1.1179083307653424,1.112430488352339,0.6613269607134106,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5076801196143853
